N,batch_size,epochs,mse,mape
12,8,30,0.05039145946999123,47.43823384310523
12,8,50,0.05696041990132604,35.19638657036549
12,8,75,0.02732778893604643,27.10077373598942
12,8,100,0.03903339914494691,38.953506705229195
12,8,200,0.06949216233187284,69.83843941813356
12,16,30,0.15182587207881557,125.74921984206237
12,16,50,0.059676346483535696,50.37053779772664
12,16,75,0.06440489781875436,47.90628829453142
12,16,100,0.06386269872043045,52.80862840987629
12,16,200,0.04037101126880363,25.620313340734363
12,32,30,0.1166801681110816,84.43974576194475
12,32,50,0.07054298904320641,63.19055830623322
12,32,75,0.07438266321244269,56.505526742382095
12,32,100,0.03144497518786287,12.316663360938833
12,32,200,0.12927806584300222,109.84285591726051
12,64,30,0.05771751144394028,45.8488514169677
12,64,50,0.10501287464339891,95.52273437722432
12,64,75,0.1163554645444093,98.21250515308111
12,64,100,0.028843118336310956,7.938991872816141
12,64,200,0.04342462670163646,22.920728141986633
12,128,30,0.10386161632104235,28.998002233251135
12,128,50,0.1643821938359981,107.4517521234964
12,128,75,0.03306199748875429,21.30039571710329
12,128,100,0.020655182094806105,12.632316624213342
12,128,200,0.02969425635317163,10.361399071439076
