N,batch_size,epochs,mse,mape
29,8,30,0.23971619007493478,182.07419406642904
29,8,50,0.11602461038330095,102.85423898187864
29,8,75,0.1291048672052014,126.34511213473803
29,8,100,0.1743072063467638,164.5718585334749
29,8,150,0.10642678599540203,105.00647577676455
29,8,200,0.16840314820255653,160.12298703313738
29,16,30,0.02554695697311675,25.839782595312798
29,16,50,0.0999149613175199,77.024496576779
29,16,75,0.045726759875170615,26.533144058143073
29,16,100,0.15070534463325994,144.05114153320423
29,16,150,0.0962155047205639,73.07288149267609
29,16,200,0.15554883645238665,140.23398716253865
29,32,30,0.10477665073526853,92.09137466169093
29,32,50,0.054540750078874836,30.744654312723753
29,32,75,0.05849569190646746,44.58206206957774
29,32,100,0.08379147365281431,80.22350537507441
29,32,150,0.02468889195700448,9.491297723140335
29,32,200,0.08098523246532423,83.77989599619937
29,64,30,0.07980804233057669,65.60592817257086
29,64,50,0.17413554514573415,155.6205666067671
29,64,75,0.04907252827106143,52.157367587762174
29,64,100,0.1456113756149931,96.56617981165114
29,64,150,0.1172169159530593,95.2410340683434
29,64,200,0.03278419113797192,33.39966117523857
29,128,30,0.2251315759293043,152.53191088078856
29,128,50,0.02633280465887294,26.578127559999494
29,128,75,0.096290520562811,72.34096933402321
29,128,100,0.037085918093392976,39.892943643808756
29,128,150,0.03716562476346165,38.17986816521085
29,128,200,0.02980454594782576,27.319222210748507
